source,target,type,value,attribute,cluster,notes,notesPosition,aandachtspunt
------------------------------------,,,,,,,,
ROTTERDAM,,,,,,,,
------------------------------------,,,,,,,,
Bruto mutatie,Aardgas,gas,5,,Rotterdam,,,
Bruto mutatie,Restgassen,gas,9,,Rotterdam,,,
Bruto mutatie,"Gas, type onbekend",gas,10,,Rotterdam,,,
Bruto mutatie,Import elektriciteit (net),elektriciteit,30,,Rotterdam,,,
Bruto mutatie,Import elektriciteit (groen),elektriciteit,8,,Rotterdam,,,
,,,,,,,,
Aardgas,Gas,gas,5,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Restgassen,Gas,gas,9,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
"Gas, type onbekend",Gas,gas,10,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Import elektriciteit (net),Elektriciteit,elektriciteit,30,,Rotterdam,,,
Import elektriciteit (groen),Elektriciteit,elektriciteit,8,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Elektriciteit,Elektrificatie,elektriciteit,20,,Rotterdam,,,
Elektriciteit,CCS,elektriciteit,10,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Elektriciteit,Groene waterstof productie,elektriciteit,8,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Gas,Blauwe waterstof productie,gas,24,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Groene waterstof productie,Groene waterstof,groene waterstof,6,,Rotterdam,,,
Groene waterstof productie,Conversie verlies,warmte,2,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Blauwe waterstof productie,Blauwe waterstof,blauwe waterstof,19.2,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,ja
Blauwe waterstof productie,Conversie verlies,warmte,4.8,,Rotterdam,,,
Elektrificatie,Elektriciteit ,elektriciteit,20,,Rotterdam,,,
CCS,Elektriciteit ,elektriciteit,10,,Rotterdam,,,
,,,,,,,,
Groene waterstof,Toepassing en afnemer onbekend,groene waterstof,6,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Blauwe waterstof,Industriële processen BESTEMMING,blauwe waterstof,19.2,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Elektriciteit ,Industriële processen,elektriciteit,30,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,
Conversie verlies,Warmtenetten gebouwde omgeving,warmte,2,,Rotterdam,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Conversie verlies,Verlies,warmte,4.8,,Rotterdam,,,
,,,,,,,,
,,,DUMMY DATA,Versie,Rotterdam-attributes,,,
,,,CES Rotterdam - DUMMYDATA,Titel,Rotterdam-attributes,,,
,,,"Dit overzicht weergeeft de balans tussen productie, substitutie en reductie van opwek en verbruik van energie en CO2-emissies voor zichtjaar 2030. Dit overzicht is gebaseerd op een dummydataset, op willekeurige cijfers. Upload het bestand ‘CES.csv’ om de werkelijke data en diagrammen voor het cluster te tonen.",Subtitel,Rotterdam-attributes,,,
,,,TWh,Eenheid_Energie,Rotterdam-attributes,,,
,,,Mton,Eenheid_CO2,Rotterdam-attributes,,,
,,,2,besparing_gas,Rotterdam-attributes-energiebesparing,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,besparing_elektriciteit,Rotterdam-attributes-energiebesparing,,,
,,,0,besparing_overige,Rotterdam-attributes-energiebesparing,,,
,,,0,besparing_onbekend,Rotterdam-attributes-energiebesparing,,,
,,,-10,substitutie_gas,Rotterdam-attributes-energiesubstitutie,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,Ja
,,,0,substitutie_elektriciteit,Rotterdam-attributes-energiesubstitutie,,,
,,,0,substitutie_overige,Rotterdam-attributes-energiesubstitutie,,,
,,,0,substitutie_onbekend,Rotterdam-attributes-energiesubstitutie,,,
,,,0.3,co2_energie_efficientie_scope1,Rotterdam-attributes-co2balans,,,
,,,3,co2_CCS_blauweH2_scope1,Rotterdam-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,2,co2_CCS_overige_scope1,Rotterdam-attributes-co2balans,,,
,,,0,co2_circulair_scope1,Rotterdam-attributes-co2balans,,,
,,,0,co2_overigebroeikasgassen_scope1,Rotterdam-attributes-co2balans,,,
,,,0,co2_restwarmte_scope1,Rotterdam-attributes-co2balans,,,
,,,4,co2_elektrificatie_scope1,Rotterdam-attributes-co2balans,,,
,,,-0.9,co2_CCS_blauweH2_scope2,Rotterdam-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0.4,co2_CCS_overige_scope2,Rotterdam-attributes-co2balans,,,
,,,0.00,co2_groeneH2_scope2,Rotterdam-attributes-co2balans,,,
,,,-1,co2_elektrificatie_scope2,Rotterdam-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,co2_circulair_scope3,Rotterdam-attributes-co2balans,,,
,,,3,co2_groenewaterstof_scope3,Rotterdam-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,0.7,co2_restwarmte_scope3,Rotterdam-attributes-co2balans,,,
,,,0,co2_elektrificatie_scope3,Rotterdam-attributes-co2balans,,,
,,,0,co2_nieuwebedrijven,Rotterdam-attributes-co2balans,,,
------------------------------------,,,,,,,,
NOORD-NEDERLAND,,,,,,,,
------------------------------------,,,,,,,,
Bruto mutatie,Aardgas,gas,5,,Noord-Nederland,,,
Bruto mutatie,Restgassen,gas,9,,Noord-Nederland,,,
Bruto mutatie,"Gas, type onbekend",gas,10,,Noord-Nederland,,,
Bruto mutatie,Import elektriciteit (net),elektriciteit,30,,Noord-Nederland,,,
Bruto mutatie,Import elektriciteit (groen),elektriciteit,8,,Noord-Nederland,,,
,,,,,,,,
Aardgas,Gas,gas,5,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Restgassen,Gas,gas,9,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
"Gas, type onbekend",Gas,gas,10,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Import elektriciteit (net),Elektriciteit,elektriciteit,30,,Noord-Nederland,,,
Import elektriciteit (groen),Elektriciteit,elektriciteit,8,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Elektriciteit,Elektrificatie,elektriciteit,20,,Noord-Nederland,,,
Elektriciteit,CCS,elektriciteit,10,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Elektriciteit,Groene waterstof productie,elektriciteit,8,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Gas,Blauwe waterstof productie,gas,24,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Groene waterstof productie,Groene waterstof,groene waterstof,6,,Noord-Nederland,,,
Groene waterstof productie,Conversie verlies,warmte,2,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Blauwe waterstof productie,Blauwe waterstof,blauwe waterstof,19.2,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,ja
Blauwe waterstof productie,Conversie verlies,warmte,4.8,,Noord-Nederland,,,
Elektrificatie,Elektriciteit ,elektriciteit,20,,Noord-Nederland,,,
CCS,Elektriciteit ,elektriciteit,10,,Noord-Nederland,,,
,,,,,,,,
Groene waterstof,Toepassing en afnemer onbekend,groene waterstof,6,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Blauwe waterstof,Industriële processen BESTEMMING,blauwe waterstof,19.2,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Elektriciteit ,Industriële processen,elektriciteit,30,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,
Conversie verlies,Warmtenetten gebouwde omgeving,warmte,2,,Noord-Nederland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Conversie verlies,Verlies,warmte,4.8,,Noord-Nederland,,,
,,,,,,,,
,,,DUMMY DATA,Versie,Noord-Nederland-attributes,,,
,,,CES Noord-Nederland - DUMMYDATA,Titel,Noord-Nederland-attributes,,,
,,,"Dit overzicht weergeeft de balans tussen productie, substitutie en reductie van opwek en verbruik van energie en CO2-emissies voor zichtjaar 2030. Dit overzicht is gebaseerd op een dummydataset, op willekeurige cijfers. Upload het bestand ‘CES.csv’ om de werkelijke data en diagrammen voor het cluster te tonen.",Subtitel,Noord-Nederland-attributes,,,
,,,TWh,Eenheid_Energie,Noord-Nederland-attributes,,,
,,,Mton,Eenheid_CO2,Noord-Nederland-attributes,,,
,,,2,besparing_gas,Noord-Nederland-attributes-energiebesparing,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,besparing_elektriciteit,Noord-Nederland-attributes-energiebesparing,,,
,,,0,besparing_overige,Noord-Nederland-attributes-energiebesparing,,,
,,,0,besparing_onbekend,Noord-Nederland-attributes-energiebesparing,,,
,,,-10,substitutie_gas,Noord-Nederland-attributes-energiesubstitutie,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,Ja
,,,0,substitutie_elektriciteit,Noord-Nederland-attributes-energiesubstitutie,,,
,,,0,substitutie_overige,Noord-Nederland-attributes-energiesubstitutie,,,
,,,0,substitutie_onbekend,Noord-Nederland-attributes-energiesubstitutie,,,
,,,0.3,co2_energie_efficientie_scope1,Noord-Nederland-attributes-co2balans,,,
,,,3,co2_CCS_blauweH2_scope1,Noord-Nederland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,2,co2_CCS_overige_scope1,Noord-Nederland-attributes-co2balans,,,
,,,0,co2_circulair_scope1,Noord-Nederland-attributes-co2balans,,,
,,,0,co2_overigebroeikasgassen_scope1,Noord-Nederland-attributes-co2balans,,,
,,,0,co2_restwarmte_scope1,Noord-Nederland-attributes-co2balans,,,
,,,4,co2_elektrificatie_scope1,Noord-Nederland-attributes-co2balans,,,
,,,-0.9,co2_CCS_blauweH2_scope2,Noord-Nederland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0.4,co2_CCS_overige_scope2,Noord-Nederland-attributes-co2balans,,,
,,,0.00,co2_groeneH2_scope2,Noord-Nederland-attributes-co2balans,,,
,,,-1,co2_elektrificatie_scope2,Noord-Nederland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,co2_circulair_scope3,Noord-Nederland-attributes-co2balans,,,
,,,3,co2_groenewaterstof_scope3,Noord-Nederland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,0.7,co2_restwarmte_scope3,Noord-Nederland-attributes-co2balans,,,
,,,0,co2_elektrificatie_scope3,Noord-Nederland-attributes-co2balans,,,
,,,0,co2_nieuwebedrijven,Noord-Nederland-attributes-co2balans,,,
------------------------------------,,,,,,,,
CHEMELOT,,,,,,,,
------------------------------------,,,,,,,,
Bruto mutatie,Aardgas,gas,5,,Chemelot,,,
Bruto mutatie,Restgassen,gas,9,,Chemelot,,,
Bruto mutatie,"Gas, type onbekend",gas,10,,Chemelot,,,
Bruto mutatie,Import elektriciteit (net),elektriciteit,30,,Chemelot,,,
Bruto mutatie,Import elektriciteit (groen),elektriciteit,8,,Chemelot,,,
,,,,,,,,
Aardgas,Gas,gas,5,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Restgassen,Gas,gas,9,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
"Gas, type onbekend",Gas,gas,10,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Import elektriciteit (net),Elektriciteit,elektriciteit,30,,Chemelot,,,
