laagBeschikbaarheid|legendeNaam|legendeGroep|subsoort|energiedragerNetten|dataType|status|url|laagNaam|cqlFilter|popup|attributeMap|fig|legendaItems|fillColor|color|eenheid|weight|opacity|fillOpacity|dash|radius|zoomMin|zoomMax|jaarSlider|tableParams|attribution|metadata|bronNaam|bronActoren|verantwoordelijkeActor|juridischeGrondslag|contactpersoon
x| Windturbines|Producenten Elektra|WindTurbine|elektra|droppedGeoJson|subsidieBeschikt||Windturbines||||circle||yellow|yellow|||||||||||RijksOverheid|||RIVM/RVO/Kadaster|||
x|Transformator Station|Producenten Elektra|TransformatorStation|elektra|wms|veiligGehandhaafd|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|EnergieTopo|type LIKE '%transfo%'|||rect||yellow|yellow||1||0.5|||||||RijksOverheid||||||
x|HoogspanningsNet op land|Netten Elektra|Hoogspanningsnet|elektra|droppedGeoJson|operationeel||HS_Tennet||||line||yellow|yellow||1|||||||||RijksOverheid||||||
x|HoogspanningsNet op zee|Netten Elektra|Hoogspanningsnet|elektra|wfs|geinstalleerd|https://geoservices.rijkswaterstaat.nl/apps/geoserver/kabels_en_leidingen_noordzee/ows?|electra_kabels_noordzee||||line||yellow|yellow||2|||||8|12|||RijksOverheid||?|RWS/RVO|EZK|?|
x|KolenCentrales|Producenten Elektra|Kolen|elektra|wms|milieuGemonitord|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|GroteStookInstallaties|Sector LIKE 'E_Centrale' and Kolen > 0|||rect||purple|purple|||||||||||RijksOverheid||WarmteAtlas|RVO/RIVM|EZK|MilieuWet/EED/BEV|
x|Subsidie BioStroom|Producenten Elektra|BioCentrale|elektra|wms|subsidieBeschikt|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|SDE_elektra|SubSoort LIKE '%bioStroom%'|||circle||green|green|||||||||||RijksOverheid||WarmteAtlas|RVO|EZK|KaderWet/EED|
x|Subsidie WaterKracht|Producenten Elektra|WaterKrachtCentrale|elektra|wms|subsidieBeschikt|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|SDE_elektra|SubSoort LIKE '%water%'|||circle||blue|blue|||||||||||RijksOverheid||DOP-projecten|RVO|EZK||
x|Subsidie WindStroom|Producenten Elektra|WindTurbine|elektra|wms|subsidieBeschikt|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|SDE_elektra|SubSoort LIKE '%windStroom%'|||circle||yellow|yellow|||||||||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet|
x|Subsidie ZonneStroom|Producenten Elektra|ZonPV|elektra|wms|subsidieBeschikt|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|SDE_elektra|SubSoort LIKE '%zonneStroom%'|||circle||orange|orange|||||||||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet|
x|ZonneVelden|Producenten Elektra|Zon|elektra|wms|geoGeregistreerd|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|EnergieTopo|type LIKE '%zon%'|||rect||orange|orange|||||||||||RijksOverheid|||RVO/Kadaster|EZK||
x|WindParken|Producenten Elektra|WindParken|elektra|wms|geoGeregistreerd|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|EnergieTopo|type LIKE '%wind%'|||rect||yellow|yellow|||||||||||RijksOverheid|||RVO/Kadaster|?||
x|TransformatorStation2|Producenten Elektra|Productie|elektra|droppedGeoJson|geoGeregistreerd|EnergieTopo.geojson|EnergieTopo|type == 'transformatorstation'|||rect||orange|orange|||||||||||RijksOverheid|||RVO/Kadaster|?|? BasisRegistraties?|
x|Subsidie BioStroom Atr|Producenten Elektra|BioCentrale|elektra|droppedGeoJson|subsidieBeschikt|RVO_SDE.geojson|RVO_SDE|SubSoort == 'bioStroom'|||circle||green|green||||||radius*2|||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet/EED|
x|Subsidie CO2arme Productie Attr|Consumenten Elektra|CO2arm|elektra|droppedGeoJson|subsidieBeschikt|RVO_SDE.geojson|RVO_SDE|SubSoort == 'CO2armeProductie'|||circle||purple|purple||||||radius*2|||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet/EED|
x|Subsidie WaterKracht Attr|Producenten Elektra|WaterKrachtCentrale|elektra|droppedGeoJson|subsidieBeschikt|RVO_SDE.geojson|RVO_SDE|SubSoort == 'waterKracht'|||circle||blue|blue||||||radius*2|||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet/EED|
x|Subsidie WindStroom Attr|Producenten Elektra|WindTurbine|elektra|droppedGeoJson|subsidieBeschikt|RVO_SDE.geojson|RVO_SDE|SubSoort ==  'windStroom'|||circle||yellow|yellow||||||radius*2|||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet|
x|Subsidie ZonneStroom Attr|Producenten Elektra|ZonPV|elektra|droppedGeoJson|subsidieBeschikt|RVO_SDE.geojson|RVO_SDE|SubSoort == 'zonneStroom'|||circle||orange|orange||||||radius*2|||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet|
x|Capaciteit Huidige Invoeding|Producenten Elektra|Invoeding|elektra|wms|operationeel|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=InvoedingHuidig|netbeheerder LIKE  '%Liander%'|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Capaciteit Invoeding over 3 jaar|Producenten Elektra|Invoeding|elektra|wms|gepland|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=Invoeding5jaar|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Capaciteit Invoeding over 5 jaar|Producenten Elektra|Invoeding|elektra|wms|gepland|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=Invoeding5jaar|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Capaciteit Invoeding over 10 jaar|Producenten Elektra|Invoeding|elektra|wms|gepland|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied,Invoeding10jaar|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Capaciteit Huidige Afname|Producenten Elektra|Afname|elektra|wms|operationeel|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=AfnameHuidig|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Capaciteit Afname over 3 jaar|Consumenten Elektra|Afname|elektra|wms|gepland|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=Afname3jaar|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Capaciteit Afname over 5 jaar|Consumenten Elektra|Afname|elektra|wms|gepland|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=Afname5jaar|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Capaciteit Afname over 10 jaar|Consumenten Elektra|Afname|elektra|wms|gepland|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=Afname10jaar|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|Stations|Netten Elektra|Stations|elektra|wms|gepland|https://service.pdok.nl/kadaster/netcapaciteit/wms/v1_0?|IndicatiefVerzorgingsgebied&styles=Stations|1=1|||||||||||||||||RijksOverheid||VIVET|Kadaster-Netbeheer|EZK|VIVET|
x|WindTurbines|Producenten Elektra|WindTurbine|elektra|droppedGeoJson|veiligGehandhaafd|Windturbines.geojson|Windturbines|vermogen_kw_rivm > 100|||circle||yellow|yellow|||||||||||||||||
x|Windparken offhore|Producenten Elektra|WindTurbine|elektra|wms|ruimtelijkVergund|https://geo.rijkswaterstaat.nl/services/ogc/gdr/windenergiegebieden/wms?|windenergiegebieden:vergunde_windparken|1=1|||||||||||||||||||||||
x|Kegelligplaatsen Aanvoer Schepen|Producenten Gassen/Olien|Vloeistoffen|gassen/olien|droppedGeoJson|ruimtelijkBestemd||Kegelligplaatsen_punt||||circle||purple|purple|||||||||||RijksOverheid|||IPO||BEV|
x|Overige Leidingen|Netten Gassen/Vloeistoffen|Buisleidingen|gassen/olien|droppedGeoJson|operationeel||BuisleidingenRRGS|stofnaam == 'waterstof'|||line||magenta|magenta||uitw_diam_inch/10|||||||||RijksOverheid|||IPO|EZK/VeiligheidsDiensten|BEV|
